Genotype ,Treatment,Letter,Aperture
Col-0,Pre,A,2.185
Col-0,Pre,A,3.592
Col-0,Pre,A,2.488
Col-0,Pre,A,2.297
Col-0,Pre,A,4.943
Col-0,Pre,A,3.664
Col-0,Pre,A,4.141
Col-0,Pre,A,2.563
Col-0,Pre,A,2.463
Col-0,Pre,A,4.996
Col-0,Pre,A,3.132
Col-0,Pre,A,5.203
Col-0,Pre,A,2.78
Col-0,Pre,A,3.119
Col-0,Pre,A,2.4
Col-0,Pre,A,5.59
Col-0,Pre,A,3.333
Col-0,Pre,A,4.514
Col-0,Pre,A,3.779
Col-0,Pre,A,2.882
Col-0,Pre,A,2.68
Col-0,Pre,A,2.479
Col-0,Pre,A,1.644
Col-0,Pre,A,1.476
Col-0,Pre,A,1.93
Col-0,Pre,A,3.941
Col-0,Pre,A,2.233
Col-0,Pre,A,2.623
Col-0,Pre,A,3.679
Col-0,Pre,A,3.206
Col-0,Pre,A,2.92
Col-0,Pre,A,3.009
Col-0,Pre,A,3.184
Col-0,Pre,A,2.522
Col-0,Pre,A,2.719
Col-0,Pre,A,3.976
Col-0,Pre,A,6.118
Col-0,Pre,A,3.497
Col-0,Pre,A,4.067
Col-0,Pre,A,4.067
Col-0,Pre,A,2.601
Col-0,Pre,A,3.799
Col-0,Pre,A,3.154
Col-0,Pre,A,3.972
Col-0,Pre,A,3.217
Col-0,Pre,A,3.779
Col-0,Pre,A,3.333
slac1-3,Pre,A,6.16
slac1-3,Pre,A,6.98
slac1-3,Pre,A,5.52
slac1-3,Pre,A,3.866
slac1-3,Pre,A,4.194
slac1-3,Pre,A,5.579
slac1-3,Pre,A,4.394
slac1-3,Pre,A,3.547
slac1-3,Pre,A,1.759
slac1-3,Pre,A,4.589
slac1-3,Pre,A,4.09
slac1-3,Pre,A,3.991
slac1-3,Pre,A,3.99
slac1-3,Pre,A,5.073
slac1-3,Pre,A,2.486
slac1-3,Pre,A,4.718
slac1-3,Pre,A,3.654
slac1-3,Pre,A,4.064
slac1-3,Pre,A,3.361
slac1-3,Pre,A,3.316
slac1-3,Pre,A,3.202
slac1-3,Pre,A,3.199
slac1-3,Pre,A,2.696
slac1-3,Pre,A,3.675
slac1-3,Pre,A,4.902
slac1-3,Pre,A,2.457
slac1-3,Pre,A,3.146
slac1-3,Pre,A,4.086
slac1-3,Pre,A,4.237
slac1-3,Pre,A,3.253
slac1-3,Pre,A,2.922
slac1-3,Pre,A,4.387
slac1-3,Pre,A,2.869
slac1-3,Pre,A,2.826
slac1-3,Pre,A,3.561
slac1-3,Pre,A,3.99
slac1-3,Pre,A,3.999
slac1-3,Pre,A,3.619
slac1-3,Pre,A,3.773
slac1-3,Pre,A,3.21
slac1-3,Pre,A,1.8
slac1-3,Pre,A,3.239
slac1-3,Pre,A,3.065
slac1-3,Pre,A,2.759
slac1-3,Pre,A,2.557
slac1-3,Pre,A,3.054
slac1-3,Pre,A,2.987
slac1-3,Pre,A,3.474
slac1-3,Pre,A,3.748
slac1-3,Pre,A,4.177
slac1-3,Pre,A,3.299
slac1-3,Pre,A,3.873
slac1-3,Pre,A,2.951
slac1-3,Pre,A,4.099
slac1-3,Pre,A,4.988
slac1-3,Pre,A,3.464
slac1-3,Pre,A,3.62
slac1-3,Pre,A,2.479
Col-0,Dark,B,0.776
Col-0,Dark,B,0.717
Col-0,Dark,B,0.954
Col-0,Dark,B,0.647
Col-0,Dark,B,0.236
Col-0,Dark,B,0.074
Col-0,Dark,B,0.388
Col-0,Dark,B,0.133
Col-0,Dark,B,0.569
Col-0,Dark,B,0.333
Col-0,Dark,B,0.889
Col-0,Dark,B,0.275
Col-0,Dark,B,1.61
Col-0,Dark,B,0.52
Col-0,Dark,B,0.08
Col-0,Dark,B,0.4
Col-0,Dark,B,0.632
Col-0,Dark,B,0.711
Col-0,Dark,B,0.067
Col-0,Dark,B,0.211
Col-0,Dark,B,0.199
Col-0,Dark,B,1.272
Col-0,Dark,B,0.816
Col-0,Dark,B,0.447
Col-0,Dark,B,0.597
Col-0,Dark,B,0.16
Col-0,Dark,B,0.105
Col-0,Dark,B,0.179
Col-0,Dark,B,0.188
Col-0,Dark,B,0.668
Col-0,Dark,B,0.222
Col-0,Dark,B,0.66
Col-0,Dark,B,0.222
Col-0,Dark,B,0.133
Col-0,Dark,B,0.556
Col-0,Dark,B,0.666
Col-0,Dark,B,0.466
Col-0,Dark,B,0.284
Col-0,Dark,B,0.636
Col-0,Dark,B,0.826
Col-0,Dark,B,0.845
Col-0,Dark,B,0.961
Col-0,Dark,B,0.506
Col-0,Dark,B,0.911
Col-0,Dark,B,0.628
Col-0,Dark,B,0.933
Col-0,Dark,B,0.2
Col-0,Dark,B,0.81
Col-0,Dark,B,0.133
Col-0,Dark,B,0.067
Col-0,Dark,B,0.167
Col-0,Dark,B,0.2
Col-0,Dark,B,0.614
Col-0,Dark,B,0.222
Col-0,Dark,B,0.542
Col-0,Dark,B,0.696
Col-0,Dark,B,0.355
Col-0,Dark,B,0.942
slac1-3,Dark,B,1.223
slac1-3,Dark,B,1.134
slac1-3,Dark,B,0.094
slac1-3,Dark,B,1.333
slac1-3,Dark,B,1.333
slac1-3,Dark,B,1.94
slac1-3,Dark,B,0.984
slac1-3,Dark,B,0.266
slac1-3,Dark,B,0.457
slac1-3,Dark,B,0.48
slac1-3,Dark,B,0.333
slac1-3,Dark,B,1.134
slac1-3,Dark,B,0.497
slac1-3,Dark,B,0.266
slac1-3,Dark,B,0.178
slac1-3,Dark,B,0.453
slac1-3,Dark,B,0.167
slac1-3,Dark,B,0.178
slac1-3,Dark,B,0.133
slac1-3,Dark,B,0.089
slac1-3,Dark,B,0.447
slac1-3,Dark,B,0.466
slac1-3,Dark,B,0.388
slac1-3,Dark,B,0.32
slac1-3,Dark,B,0.17
slac1-3,Dark,B,0.1
slac1-3,Dark,B,0.12
slac1-3,Dark,B,0.284
slac1-3,Dark,B,0.968
slac1-3,Dark,B,0.728
slac1-3,Dark,B,0.133
slac1-3,Dark,B,0.133
slac1-3,Dark,B,0.089
slac1-3,Dark,B,0.033
slac1-3,Dark,B,1.427
slac1-3,Dark,B,0.843
slac1-3,Dark,B,0.805
slac1-3,Dark,B,0.64
slac1-3,Dark,B,0.6
slac1-3,Dark,B,0.628
slac1-3,Dark,B,1.787
slac1-3,Dark,B,1.243
slac1-3,Dark,B,0.48
slac1-3,Dark,B,1.293
slac1-3,Dark,B,1.732
slac1-3,Dark,B,1.109
slac1-3,Dark,B,0.885
slac1-3,Dark,B,0.2
slac1-3,Dark,B,0.52
slac1-3,Dark,B,1.373
slac1-3,Dark,B,0.933
slac1-3,Dark,B,1.312
slac1-3,Dark,B,0.669
slac1-3,Dark,B,0.54
slac1-3,Dark,B,0.24
slac1-3,Dark,B,0.628
slac1-3,Dark,B,0.388
slac1-3,Dark,B,0.421
slac1-3,Dark,B,1.479
slac1-3,Dark,B,0.52
slac1-3,Dark,B,0.805
slac1-3,Dark,B,1.918
slac1-3,Dark,B,1.022
slac1-3,Dark,B,0.666
slac1-3,Dark,B,0.708
slac1-3,Dark,B,1.158
slac1-3,Dark,B,1.697
Col-0,Mock,C,0.333
Col-0,Mock,C,0.824
Col-0,Mock,C,0.906
Col-0,Mock,C,0.358
Col-0,Mock,C,0.323
Col-0,Mock,C,0.507
Col-0,Mock,C,0.569
Col-0,Mock,C,0.347
Col-0,Mock,C,0.188
Col-0,Mock,C,0.579
Col-0,Mock,C,0.549
Col-0,Mock,C,0.359
Col-0,Mock,C,0.457
Col-0,Mock,C,0.211
Col-0,Mock,C,0.477
Col-0,Mock,C,0.444
Col-0,Mock,C,1.244
Col-0,Mock,C,0.133
Col-0,Mock,C,0.687
Col-0,Mock,C,0.666
Col-0,Mock,C,0.755
